,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
0,female,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,yes,mailed_check,19.5,19.5,0
1,male,0,no,yes,66,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.55,1357.1,0
2,male,0,yes,yes,71,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,no,electronic_check,90.4,6668.05,0
3,female,0,yes,no,72,yes,yes,fiber_optic,yes,yes,yes,no,yes,no,two_year,no,bank_transfer_(automatic),100.65,7334.05,0
4,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month_to_month,yes,mailed_check,45.85,45.85,1
5,female,1,no,yes,1,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,yes,electronic_check,71.0,71.0,1
6,female,0,yes,yes,59,yes,yes,fiber_optic,no,yes,no,yes,no,yes,month_to_month,yes,bank_transfer_(automatic),96.65,5580.8,0
7,female,0,no,no,28,no,no_phone_service,dsl,no,no,yes,yes,no,no,month_to_month,yes,mailed_check,35.75,961.4,0
8,female,0,no,no,41,yes,no,dsl,no,no,no,yes,no,no,one_year,no,bank_transfer_(automatic),50.05,2029.05,0
9,female,0,no,no,7,yes,no,fiber_optic,no,no,yes,no,yes,yes,month_to_month,yes,electronic_check,95.35,660.9,1
10,male,0,yes,yes,23,yes,no,dsl,yes,no,no,yes,no,no,one_year,no,credit_card_(automatic),57.2,1423.35,0
11,male,0,yes,no,58,no,no_phone_service,dsl,no,no,no,no,yes,yes,one_year,yes,credit_card_(automatic),45.0,2689.35,0
12,female,0,no,no,51,yes,no,fiber_optic,no,no,no,no,yes,yes,one_year,no,credit_card_(automatic),87.55,4475.9,0
13,male,0,yes,yes,20,no,no_phone_service,dsl,yes,no,yes,yes,no,no,two_year,yes,credit_card_(automatic),39.4,825.4,0
14,female,1,yes,no,68,yes,yes,fiber_optic,yes,yes,no,no,no,yes,one_year,yes,credit_card_(automatic),96.55,6581.9,1
15,male,0,no,yes,27,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,19.15,537.35,0
16,female,0,no,yes,26,yes,yes,dsl,no,no,no,no,no,no,month_to_month,yes,mailed_check,49.5,1265.65,0
17,female,0,yes,no,59,yes,no,fiber_optic,no,yes,no,yes,yes,yes,two_year,yes,mailed_check,100.05,6034.85,0
18,female,0,no,no,65,yes,no,dsl,yes,yes,no,yes,no,no,two_year,yes,mailed_check,59.6,3739.8,0
19,female,0,no,no,1,yes,no,fiber_optic,yes,yes,no,yes,no,no,month_to_month,yes,mailed_check,83.4,83.4,0
20,male,0,no,no,5,yes,no,dsl,no,no,no,yes,no,no,month_to_month,yes,electronic_check,49.2,216.9,1
21,female,0,yes,yes,14,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,19.7,263.65,0
22,male,0,no,no,14,yes,yes,fiber_optic,no,no,no,yes,yes,no,month_to_month,yes,electronic_check,89.95,1178.4,1
23,female,0,yes,no,60,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),110.8,6640.7,0
24,male,0,yes,yes,21,yes,yes,dsl,yes,yes,no,yes,yes,no,one_year,no,mailed_check,77.5,1625.0,1
25,female,1,yes,no,70,yes,yes,fiber_optic,no,yes,no,yes,yes,yes,one_year,yes,bank_transfer_(automatic),105.55,7195.35,0
26,male,0,yes,no,66,no,no_phone_service,dsl,yes,yes,yes,yes,yes,no,two_year,yes,bank_transfer_(automatic),56.6,3789.2,0
27,female,0,no,no,8,yes,no,dsl,no,no,yes,yes,no,yes,month_to_month,no,mailed_check,64.1,504.05,0
28,female,1,no,no,30,yes,yes,fiber_optic,yes,yes,yes,no,no,no,month_to_month,no,credit_card_(automatic),91.7,2758.15,1
29,female,0,no,no,70,no,no_phone_service,dsl,yes,yes,yes,yes,no,no,two_year,yes,bank_transfer_(automatic),44.6,3058.15,0
30,female,0,yes,no,3,yes,yes,fiber_optic,no,no,no,no,no,no,month_to_month,yes,credit_card_(automatic),74.75,229.5,1
